diff,pct_transactions,pct_raised,label
-6,0.03809630656548253,0.02884804530357707,disaster: hurricane harvey
-6,0.05424871657344264,0.04983422635709186,disaster: hurricane sandy
-6,0.03454705411190041,0.03150696671914408,disaster: louisiana flooding
-6,0.08540784848267451,0.07244894483099355,disaster: typhoon Haiyan
-6,0.05923805329222638,0.04040624651178423,eoy: eoy 2012
-6,0.05125815470643056,0.028122415223163773,eoy: eoy 2013
-6,0.04924749503062756,0.03098932481729117,eoy: eoy 2014
-6,0.04025623735670937,0.02527203319345385,eoy: eoy 2015
-6,0.04261110119578797,0.0308762829065297,eoy: eoy 2016
-6,0.07289979171488081,0.06326677327479044,gt: gt 2012
-6,0.05560192616372391,0.06966601198783803,gt: gt 2013
-6,0.05255508208634757,0.05036779805244733,gt: gt 2014
-6,0.04154035231462515,0.040336088490702866,gt: gt 2015
-6,0.03670111941632988,0.045755021642901364,gt: gt 2016
-5,0.03813637419964900,0.029065288005700008,disaster: hurricane harvey
-5,0.15316833959083595,0.12883412830676888,disaster: hurricane sandy
-5,0.03532176950247515,0.033589222548919904,disaster: louisiana flooding
-5,0.05036229284740655,0.04296723758983749,disaster: typhoon Haiyan
-5,0.06892754899801805,0.06635824326849568,eoy: eoy 2012
-5,0.06405151232737439,0.07710281475165641,eoy: eoy 2013
-5,0.05687396048841831,0.0587288580978476,eoy: eoy 2014
-5,0.04109912339851652,0.03875427247612192,eoy: eoy 2015
-5,0.05137426378725682,0.05363428847144119,eoy: eoy 2016
-5,0.04281416338810460,0.05406966817548222,gt: gt 2012
-5,0.03749598715890850,0.027560365968258085,gt: gt 2013
-5,0.02725200673867802,0.023105776537528266,gt: gt 2014
-5,0.02265464973371569,0.01882372781458899,gt: gt 2015
-5,0.02095060977790493,0.019982113638179904,gt: gt 2016
-4,0.04825745859010008,0.047625738578760166,disaster: hurricane harvey
-4,0.13248026971113324,0.12303524383743375,disaster: hurricane sandy
-4,0.07045970823430544,0.06996832773148894,disaster: louisiana flooding
-4,0.04960901068943252,0.04206218022258376,disaster: typhoon Haiyan
-4,0.07531380753138075,0.09973205661812476,eoy: eoy 2012
-4,0.06955858679996611,0.0686304538723674,eoy: eoy 2013
-4,0.06279664110989412,0.05202068645144713,eoy: eoy 2014
-4,0.05315239379635873,0.04826553891962592,eoy: eoy 2015
-4,0.06991790112439764,0.08195743939034338,eoy: eoy 2016
-4,0.04466558666975237,0.03949888885537561,gt: gt 2012
-4,0.04353130016051364,0.046724256822539355,gt: gt 2013
-4,0.03306576817626267,0.02490636264595681,gt: gt 2014
-4,0.02317356274750785,0.02297616953431857,gt: gt 2015
-4,0.02397625263760237,0.022605049110621674,gt: gt 2016
-3,0.05423554960773786,0.05384116502473131,disaster: hurricane harvey
-3,0.12228947973335376,0.11086639845919985,disaster: hurricane sandy
-3,0.07263941594338012,0.07334650377540694,disaster: louisiana flooding
-3,0.05455915058469043,0.0702415656778379,disaster: typhoon Haiyan
-3,0.08280114512221977,0.09310273498246607,eoy: eoy 2012
-3,0.06676268745234262,0.09518224301537527,eoy: eoy 2013
-3,0.06742119995132043,0.07213266186836267,eoy: eoy 2014
-3,0.08218138907619689,0.09719999823376839,eoy: eoy 2015
-3,0.08480278422273781,0.09607359421376045,eoy: eoy 2016
-3,0.04859986114325387,0.03747689379331741,gt: gt 2012
-3,0.04443017656500802,0.052889159626897685,gt: gt 2013
-3,0.03306576817626267,0.030660114472155716,gt: gt 2014
-3,0.02546770449269425,0.025461724808791553,gt: gt 2015
-3,0.02330388755766961,0.022211403711307146,gt: gt 2016
-2,0.05560586269623123,0.0596496309819119,disaster: hurricane harvey
-2,0.06896023293234234,0.06579694959511094,disaster: hurricane sandy
-2,0.08823876990952899,0.09070714913614594,disaster: louisiana flooding
-2,0.04953726953153023,0.06746146789089717,disaster: typhoon Haiyan
-2,0.07773618145782867,0.09440432789802175,eoy: eoy 2012
-2,0.07803100906549182,0.08433977546148927,eoy: eoy 2013
-2,0.10210539126201776,0.1325272299206598,eoy: eoy 2014
-2,0.10640593391773432,0.1252379371548367,eoy: eoy 2015
-2,0.11724076387649473,0.1410088738167081,eoy: eoy 2016
-2,0.04952557278407775,0.037103235730705515,gt: gt 2012
-2,0.04982343499197431,0.05110684177195508,gt: gt 2013
-2,0.06220064083506755,0.06905515248589553,gt: gt 2014
-2,0.03222722927761846,0.02935984871974847,gt: gt 2015
-2,0.03029934551697006,0.030145383399275832,gt: gt 2016
-1,0.05702425694572438,0.059202750732938035,disaster: hurricane harvey
-1,0.07072254999616887,0.06403840262576695,disaster: hurricane sandy
-1,0.08124006985569284,0.08283345133998177,disaster: louisiana flooding
-1,0.05409283305832556,0.061705229038805126,disaster: typhoon Haiyan
-1,0.10680466857520369,0.10200319197244588,eoy: eoy 2012
-1,0.14962297720918410,0.1642119590870629,eoy: eoy 2013
-1,0.14810758184252160,0.18928492720813875,eoy: eoy 2014
-1,0.14721847606203641,0.1875672225611857,eoy: eoy 2015
-1,0.15289130822773514,0.18782044963009398,eoy: eoy 2016
-1,0.07775977782920620,0.08686711749802332,gt: gt 2012
-1,0.07422150882825040,0.09078840925792817,gt: gt 2013
-1,0.10032041753377597,0.10236859263324584,gt: gt 2014
-1,0.08070462925030725,0.07094975010064561,gt: gt 2015
-1,0.06669289367333071,0.07350035105551647,gt: gt 2016
0,0.05744897386788899,0.05444726500134401,disaster: hurricane harvey
0,0.07608612366868439,0.08763187999816419,disaster: hurricane sandy
0,0.15471985503630657,0.13209868835473124,disaster: louisiana flooding
0,0.10962048927469689,0.06753122310939032,disaster: typhoon Haiyan
0,0.17969610218013653,0.33998187545567243,eoy: eoy 2012
0,0.21570787088028467,0.3485739476016521,eoy: eoy 2013
0,0.26404608332319175,0.35503822716816147,eoy: eoy 2014
0,0.29450438300741739,0.36438236237598687,eoy: eoy 2015
0,0.26633946100303408,0.3145603778783811,eoy: eoy 2016
0,0.11409395973154362,0.10849279668046218,gt: gt 2012
0,0.13855537720706260,0.17491701400093304,gt: gt 2013
0,0.21279688170977438,0.22500283114214462,gt: gt 2014
0,0.42448450088761436,0.44220967687058194,gt: gt 2015
0,0.46405350309359464,0.4436153786355927,gt: gt 2016
1,0.04109336560113471,0.03417540722963298,disaster: hurricane harvey
1,0.07041606007202513,0.07986842855275489,disaster: hurricane sandy
1,0.07282324671402497,0.05818933678634911,disaster: louisiana flooding
1,0.08723724800918286,0.06670490219801992,disaster: typhoon Haiyan
1,0.05153049988989209,0.021387007259914968,eoy: eoy 2012
1,0.05134287892908582,0.02278139378088618,eoy: eoy 2013
1,0.04498803293984016,0.020991904491854084,eoy: eoy 2014
1,0.04389750505731625,0.022334550563474966,eoy: eoy 2015
1,0.03778333035873639,0.018577001994281857,eoy: eoy 2016
1,0.10391113168248090,0.1339809556920982,gt: gt 2012
1,0.07345104333868378,0.08848017206553753,gt: gt 2013
1,0.11135335117101047,0.10031791384556764,gt: gt 2014
1,0.09785606991670080,0.09584364125772687,gt: gt 2015
1,0.09864454061013554,0.09079284984128294,gt: gt 2016
2,0.05630303953072786,0.04563275427896732,disaster: hurricane harvey
2,0.05478507394069419,0.060405673547737786,disaster: hurricane sandy
2,0.05646230812663313,0.05403589164177393,disaster: louisiana flooding
2,0.06011909032211779,0.04189703466042616,disaster: typhoon Haiyan
2,0.05681567936577846,0.030375711353958168,eoy: eoy 2012
2,0.04981784292129119,0.026400340221192885,eoy: eoy 2013
2,0.03959271429150947,0.018093040099140006,eoy: eoy 2014
2,0.03241739716790289,0.010606258598025206,eoy: eoy 2015
2,0.03237551311797251,0.011987550500192946,eoy: eoy 2016
2,0.09095116871094654,0.08284207958014568,gt: gt 2012
2,0.08571428571428571,0.09665098691046474,gt: gt 2013
2,0.08671093053215736,0.09290403138301757,gt: gt 2014
2,0.06684418953980609,0.060151144616393176,gt: gt 2015
2,0.06612066807338793,0.06215209304343499,gt: gt 2016
3,0.14346617089647324,0.13198766558633604,disaster: hurricane harvey
3,0.06214083212014405,0.05898084610623439,disaster: hurricane sandy
3,0.09171842378244941,0.10043792838781067,disaster: louisiana flooding
3,0.05861252600616973,0.056131302715727055,disaster: typhoon Haiyan
3,0.06232107465316009,0.040379136116178556,eoy: eoy 2012
3,0.04812335846818605,0.021261940993579982,eoy: eoy 2013
3,0.03395399780941949,0.01096615259433315,eoy: eoy 2014
3,0.02892784895482130,0.0119402225135997,eoy: eoy 2015
3,0.03636444761734784,0.016485545775216937,eoy: eoy 2016
3,0.10414255959268687,0.08951005820178776,gt: gt 2012
3,0.06028892455858747,0.08074735811451232,gt: gt 2013
3,0.08013741617943381,0.07951259230210514,gt: gt 2014
3,0.05228731394237334,0.05294394101007709,gt: gt 2015
3,0.05123564965487643,0.058977832153108416,gt: gt 2016
4,0.15856365545040027,0.15805823469469002,disaster: hurricane harvey
4,0.05608765611830511,0.07052181009933568,disaster: hurricane sandy
4,0.08619036989377207,0.09874428720271171,disaster: louisiana flooding
4,0.11453475859100365,0.1492124139698779,disaster: typhoon Haiyan
4,0.06188064303016956,0.025146396136270673,eoy: eoy 2012
4,0.04066762687452342,0.013626131314772926,eoy: eoy 2013
4,0.03756439901018214,0.012064375294012011,eoy: eoy 2014
4,0.04254888739042481,0.02869096175293195,eoy: eoy 2015
4,0.03609673389255755,0.016534246974330702,eoy: eoy 2016
4,0.06803980560055542,0.06316467373389836,gt: gt 2012
4,0.13605136436597110,0.06965917193293016,gt: gt 2013
4,0.05853400720113632,0.05721414835548093,gt: gt 2014
4,0.03699303564113068,0.03351110098695313,gt: gt 2015
4,0.03490576159650942,0.03605730678047112,gt: gt 2016
5,0.12213416246624301,0.1464579875763145,disaster: hurricane harvey
5,0.04704620335606466,0.057691710294342044,disaster: hurricane sandy
5,0.07672308520556219,0.08488134072055044,disaster: louisiana flooding
5,0.11729679317024176,0.133305253943381,disaster: typhoon Haiyan
5,0.03765690376569037,0.021526069065945896,eoy: eoy 2012
5,0.04846225535880708,0.018789213848054268,eoy: eoy 2013
5,0.04604275688613038,0.022357445117226128,eoy: eoy 2014
5,0.04286918408631153,0.01709159122743241,eoy: eoy 2015
5,0.03698911297519186,0.015624118422430737,eoy: eoy 2016
5,0.07336264753529275,0.05291974390351624,gt: gt 2012
5,0.10574638844301765,0.06967057495505809,gt: gt 2013
5,0.06385227760710864,0.047103256643003584,gt: gt 2014
5,0.03934179980882152,0.04770096153024818,gt: gt 2015
5,0.03534208361646579,0.03687303141023074,gt: gt 2016
6,0.12963482358220676,0.15100806700509664,disaster: hurricane harvey
6,0.03156846218680560,0.04249430222005856,disaster: hurricane sandy
6,0.07891592368396864,0.08966090565498536,disaster: louisiana flooding
6,0.10901068943252744,0.12833124415222238,disaster: typhoon Haiyan
6,0.07927769213829552,0.025197003360720824,eoy: eoy 2012
6,0.06659323900703211,0.030977370828746575,eoy: eoy 2013
6,0.04725974605492677,0.024805166871525914,eoy: eoy 2014
6,0.04452124072825354,0.022657050429556135,eoy: eoy 2015
6,0.03521327860074959,0.014860230026288963,eoy: eoy 2016
6,0.10923397361721823,0.1508071148803971,gt: gt 2012
6,0.09508828250401284,0.0811396765851478,gt: gt 2013
6,0.07815545205298450,0.0974814295014509,gt: gt 2014
6,0.05642496244708452,0.059732224259223594,gt: gt 2015
6,0.04777368477522263,0.05733218557807679,gt: gt 2016