state,harvey_pct_gtv,gtv_normalized
TX,0.216732916636293,4.749087861344581
WV,0.0011952126287892544,1.8224571757436396
ME,0.002426332975453734,1.7925642480685822
OK,0.0037895538757517526,1.677159193543761
KY,0.003734577734423079,1.6122491829118877
AR,0.0018677240898598688,1.6035735178289954
CO,0.02454250350724724,1.5030607674514662
TN,0.009731795411513942,1.495189592883748
NE,0.002078068552015505,1.4588556928194198
NV,0.006775583176957502,1.398492975520322
MD,0.029160741032224366,1.3293276870774553
AL,0.0033068192161584842,1.3049129868442146
SC,0.009929857471339095,1.2925385799200577
IN,0.008551432135632572,1.288184881873908
PA,0.027104066200871232,1.2585274084698177
MT,0.0010047231964599686,1.2371968632684336
AZ,0.01470412663098114,1.2281050684037242
VA,0.03037833125610478,1.1753688771639115
NC,0.017894259326223984,1.1696577568916113
UT,0.0040414972391953335,1.1651554970388742
SD,7.682333193454659E-4,1.1497360301351158
ID,0.003401179924847625,1.131980419242948
VT,0.0018769759616815863,1.1196121680500828
HI,0.002319238613756239,1.0730884695607035
NJ,0.03333277300985952,1.0704462289286731
NM,0.005089565159237965,1.0317875163888297
DE,0.002789629224751555,1.02790814430788
KS,0.004951637800403275,1.0112951753131503
WI,0.011179439642185127,0.9889209925393304
OR,0.014376982218777725,0.9328148282383819
WA,0.024117827302356086,0.9216614997623584
AE,4.867342694266439E-4,0.9115028623594912
CA,0.17783450653618982,0.9091007003238991
NH,0.0033442360346613463,0.8751475146668944
MS,0.0011245734038221075,0.8659397386211632
LA,0.007590882188590047,0.8349238607201439
IA,0.004187349842175811,0.7976527807280788
MI,0.011941809168568964,0.7921988615137896
MO,0.005942098516421663,0.7539254141674822
MA,0.03503662405983243,0.7458082350041504
MN,0.010047476083818863,0.7354885975363861
OH,0.014939908808945104,0.7191403314579462
FL,0.03333551996753793,0.7018660152977994
IL,0.03803426505197861,0.6663973615670271
GA,0.016363326056501055,0.6043425821979007
RI,0.0020589976627113575,0.5444628571297155
CT,0.014661963049883186,0.5051429072762031
NY,0.09754571241492965,0.499088694781683
WY,7.848112335931751E-4,0.48304777934610343
PR,2.6483236504595757E-6,0.29058938794090405
AK,0.001102351157324955,0.2347207073093952
ND,4.806016987388479E-4,0.21545881398092587